t,q
1196,0.08329088
1197,0.08335216
1198,0.08341344
1199,0.08347472
1200,0.083536
1201,0.08359728
1202,0.08365856
1203,0.08371984
1204,0.08378112
1205,0.0838424
1206,0.08390368
1207,0.08396496
1208,0.08402624
1209,0.08408752
1210,0.0841488
1211,0.08421008
1212,0.08427136
1213,0.08433264
1214,0.08439392
1215,0.0844552
1216,0.08451648
1217,0.08457776
1218,0.08463904
1219,0.08470032
1220,0.0847616
1221,0.08482288
1222,0.08488416
1223,0.08494544
1224,0.08500672
1225,0.085068
1226,0.08512928
1227,0.08519056
1228,0.08525184
1229,0.08531312
1230,0.0853744
1231,0.08543568
1232,0.08549696
1233,0.08555824
1234,0.08561952
1235,0.0856808
1236,0.08574208
1237,0.08580336
1238,0.08586464
1239,0.08592592
1240,0.0859872
1241,0.08604848
1242,0.08610976
1243,0.08617104
1244,0.08623232
1245,0.0862936
1246,0.08635488
1247,0.08641616
1248,0.08647744
1249,0.08653872
1250,0.0866
1251,0.08666128
1252,0.08672256
1253,0.08678384
1254,0.08684512
1255,0.0869064
1256,0.08696768
1257,0.08702896
1258,0.08709024
1259,0.08715152
1260,0.0872128
1261,0.08727408
1262,0.08733536
1263,0.08739664
1264,0.08745792
1265,0.0875192
1266,0.08758048
1267,0.08764176
1268,0.08770304
1269,0.08776432
1270,0.0878256
1271,0.08788688
1272,0.08794816
1273,0.08800944
1274,0.08807072
1275,0.088132
1276,0.08819328
1277,0.08825456
1278,0.08831584
1279,0.08837712
1280,0.0884384
1281,0.08849968
1282,0.08856096
1283,0.08862224
1284,0.08868352
1285,0.0887448
1286,0.08880608
1287,0.08886736
1288,0.08892864
1289,0.08898992
1290,0.0890512
1291,0.08911248
1292,0.08917376
1293,0.08923504
1294,0.08929632
1295,0.0893576
1296,0.08941888
1297,0.08948016
1298,0.08954144
1299,0.08960272
1300,0.089664
1301,0.08972528
1302,0.08978656
1303,0.08984784
1304,0.08990912
1305,0.0899704
1306,0.09003168
1307,0.09009296
1308,0.09015424
1309,0.09021552
1310,0.0902768
1311,0.09033808
1312,0.09039936
1313,0.09046064
